	BW1	BW2	R10	R11	R11BF	R12	R1A	R1B	R2	R3	R4	R5	R6	R7	R8	R9
65730e6c0a7fdc28caeb4cd9e1821414	0	0	0	0	0	0.0690770787486893	0.0633406355219536	0	0.0668689128216475	0.0637539690927427	0.0788358825601059	0.0598416292464401	0.0626265224790529	0.066998343672533	0	0
cf4aa9a5f5b2f809449fa309543cbef4	0	0	0	0	0	0	0	0.0804465919402554	0.0710261537394465	0.0975843405406579	0.0728996417918097	0	0	0	0.0789979297661627	0
f55ae9d1284c65fcda2675fdd52d317a	0	0	0	0	0	0.0535068751196664	0.0753904358664085	0.0710485062527393	0.0586479162325686	0	0.0671095598874199	0.091000605033061	0.0594127358908626	0	0	0
766abb4a68155a67d0b5862b8a4a71b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235606035749581
9f548ab43dabc1abb7c0c1fda5a1a2e9	0	0	0	0	0	0.0850037089691619	0.0958866487834015	0.115462580773565	0.0772135696359916	0	0	0	0	0	0	0
550b548bf4d602fcaa838e25d4055424	0	0	0	0	0	0.0747638864591259	0	0.06730644774731	0	0.0882085344964261	0.0838198134340669	0	0	0.0998752338877845	0	0
bb995f7cbdc70648bc4f6854feaa0c48	0	0	0.0783380609603604	0.137154868262072	0	0.0404473957139505	0.0466174455042605	0	0	0.0559957527795295	0	0.069368554972548	0	0	0.0679166495002363	0
fc5d235c2dac1029652995a6b76d16c7	0	0	0	0	0	0	0.0731394659384838	0.0701317129239654	0.0677207804485682	0	0.0671095598874199	0.079163034517505	0.0695502237617572	0	0	0
fbcd1ea7be9c0a1fa323454a82596caa	0	0	0	0	0	0.105085416615609	0.101805827992178	0.0719536192546391	0	0	0	0	0.0921837450707835	0	0	0
1e8585dc8e7cf61b52a6aee4e664134f	0	0	0	0	0.209953815240412	0	0	0	0	0	0	0	0	0	0	0
d343830f469fd508cdbe6cab3ca90b6c	0	0	0.0247726700115857	0	0	0.0559968837383986	0.0563577435001078	0.0623136621687506	0.0513518243115454	0	0.0569443498546072	0.0701705302277534	0.0560148645830324	0.0569376436274402	0.0435813633640409	0.0515078753637713
3f099930be1d2978b7635f5adc90e9b0	0	0	0.0753431344609578	0.0839898607451808	0.129354697013439	0	0	0	0	0.0403215504418091	0	0	0	0	0.0546321302104935	0.0880630571852711
7b31908f5a6f11911e830947419fe89b	0	0	0.0893191319569212	0	0	0	0	0.0623136621687506	0.0556382985953034	0.0619056339410666	0	0.0660633699195012	0.0511343414795401	0.0706224551546449	0.0435813633640409	0
ed79e1e6f412ac358198424b6e3530dc	0	0	0.0463454218694814	0.0292415161651331	0	0.0559968837383986	0.0807437841324525	0.0602007169948091	0.0513518243115454	0.0431055505876494	0.042443812403144	0.0484772602645548	0.0646803942912684	0	0.0260448461632497	0.0377964473009227
71f61acec1b33722aa61a7c127a1fa3d	0	0	0.0525507688598665	0	0	0.0700569444104059	0.0483772094743269	0.0692027750495127	0.0642455733425024	0	0.0545200641843616	0.0607694617742583	0	0	0	0.0685118789044674
dee61969c7973780738420910818f2af	0	0	0	0	0	0	0.0592497391959184	0.0533622322257312	0.0490683671513091	0.0590247060263392	0.0788358825601059	0.0616833395480309	0	0.0907161861737761	0	0
8095500bb72c766c6a097b2f08965f48	0	0	0	0	0	0	0	0	0	0.0469731847293111	0.066435074830375	0.0878724965450509	0	0	0.0772614994850128	0.095831484749991
7b842d36c4d30155b097ba77a079c2d1	0	0	0.0594027758790931	0.13320144538796	0	0	0.0517174123374644	0	0.0478858230824279	0.0646583258814742	0	0	0	0	0.0798519862600364	0
c0f7b5dffe9d1d45237acf9621b9ff7e	0	0	0.0678427508748861	0	0	0.0547660326912736	0.0646467654218305	0.0482679551641532	0	0.0493836121101629	0.0434919656014641	0	0	0	0.0995172174567961	0.0515078753637713
4b5a16906648b8b6453560dee696219b	0	0	0	0	0	0.0650100930761703	0.0684157057483573	0.0692027750495127	0.0576621667630371	0	0.0799702701018456	0.0539405156638363	0	0	0	0
b657222c319d87c5ebb19b228cd2d602	0	0	0.0901738799676138	0.0913066049606954	0	0	0.0563577435001078	0.0521353502435423	0.0400641540107502	0	0	0.0569675338282647	0	0	0.0718006858509849	0.0404061017820884
d6f707413b8788da4617164be5dba704	0	0	0.0763544969551741	0.070118692507102	0	0	0.0671828893533584	0.068261196821162	0.0668689128216475	0.0590247060263392	0	0	0	0.0820558778046659	0	0
1a8b4d7bb2e3c6000692ad642a30f822	0	0	0	0	0	0	0.0817724088382401	0.06730644774731	0.0566592699670074	0.0505457384530443	0.046494866959439	0.0579414083703453	0.0732132351492525	0	0	0
f697bfbdba885ba4e304a114e544e54f	0	0	0.0594027758790931	0.0839898607451808	0.116163947128403	0.0559968837383986	0	0	0.0478858230824279	0.0340779299131455	0	0	0	0.038681511754596	0.0465904371876408	0.0515078753637713
3fa7f01f58b4e219f1f9f91542b0bfe9	0	0	0.0446595659784606	0.062030623117625	0	0.0369232517081141	0.0466174455042605	0.0410198742105398	0.0466733269616331	0.0619056339410666	0.0445154459984914	0.0539405156638363	0.0523971079590613	0.066998343672533	0	0.0494871659305393
cd2c58c60e048b47999a1b99f71d130d	0	0	0	0	0	0	0.0914243324231048	0.0851366704386435	0.0702143996086658	0	0	0.0652109036255151	0.0636617417429545	0	0	0
34b361fee599ef9d66aa4f87ab2e2f6f	0	0	0	0	0	0.049537740461807	0.100150338345971	0.0612662991357005	0.0633469896008703	0	0.0643692285647462	0	0	0	0	0.0769309258162072
c7c446b702f013a234ebd0e94aea9e7d	0	0	0	0	0	0.049537740461807	0.0684157057483573	0.0653551202444713	0	0.0590247060263392	0.0502201960951825	0.0643471449109561	0	0.0417808079173254	0.0689081858828936	0
1c67b753d22bf38530bca398da597115	0	0	0.100627061279748	0.0991628059194123	0	0	0	0	0.0321227866712512	0.0388548182252192	0.0268438239549679	0.0259121855656335	0	0	0.0754851356096397	0.0714285714285714
e9f23f21628bc86cc40b5c66afd7b350	0	0	0.0539907825710912	0.0527158929528483	0	0.0756701484744357	0.0847834380097252	0.0568843306843017	0	0	0	0	0	0.0547039185364439	0.0806970043558403	0.0515078753637713
afb35c2c4974a37e5623eed9ae2f81c7	0	0	0	0	0	0	0	0.0812470752575009	0	0.0855349252360759	0.0944315211992305	0	0	0	0	0
11147786e587dfc87c453019a4a32912	0	0	0.0802726253761555	0.0787351918798648	0	0	0	0.0533622322257312	0.0651317610442166	0	0.0553399607809092	0	0	0	0.0798519862600364	0
efe83f935f582364f2f9e5bcc00348f2	0	0	0	0	0	0.105085416615609	0	0.0812470752575009	0	0	0	0.0607694617742583	0.0775490684705902	0	0	0
5954d6cb29b92b49a2f2a6869c18d7c2	0	0	0	0	0	0	0	0.0779958646693134	0	0.0862111011752989	0.0735148395491674	0.0669049754396898	0	0	0	0
75d9aae26381a20d44e755f4134c4a3e	0	0	0	0	0	0	0.0447885929022389	0.0568843306843017	0.0490683671513091	0.0559957527795295	0.065065132341264	0.0701705302277534	0	0.077363023509192	0	0.0428571428571429
8f955efd11bd4a98c379236c76d6abde	0	0	0.102140335086339	0.122326038453084	0	0	0	0	0	0	0	0.0559767185266326	0	0	0	0.0914732033918978
0bb386cb846aba4cd79fff50c77a3018	0	0	0	0	0	0.0387254330946837	0.0633406355219536	0.0425683352193218	0.0556382985953034	0.0403215504418091	0.0607702911231485	0.0448812219348301	0.0511343414795401	0	0.0465904371876408	0.067005939426049
064b65c4bdac714cb022424276ee269c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205038572777247
0f2c389188405efc4e0a763ab814ff28	0	0	0	0	0	0	0.0827882541088318	0.073730519393489	0	0.0590247060263392	0.0690935207525292	0.0660633699195012	0	0	0	0
7f2a1f8c62b149e1e4fbecf00715f1d2	0	0	0.074318010034757	0	0	0	0	0	0	0	0.0561478861560988	0.0755463537617568	0.0732132351492525	0	0.0727392967453308	0
eb4cb0b1dbd34cdfb19676138560ae08	0	0	0	0	0	0.0729175796028154	0.0633406355219536	0	0.0615104534714598	0.0493836121101629	0.042443812403144	0.0598416292464401	0.0656832509061576	0	0	0
fc552f99023820f7f928928c11954f7d	0	0	0	0	0	0	0	0	0	0	0.0859421698957179	0.079163034517505	0	0	0.0894669846237967	0
b6c0e166dbc409b025f76674df92d87e	0	0	0	0	0	0	0.11920274556535	0	0	0.112508790092602	0	0	0	0	0	0
46aebd3b786b8ba1a4801aeff56ea303	0	0	0	0	0	0	0	0	0.0856607644566699	0.0655502069906071	0	0.0777365566969005	0.0714052218900349	0	0	0
b569b8d2ad922c19cc9ea207ab97fcf7	0	0	0.0943315170173377	0.0969831374208587	0	0	0.0500751691729854	0.0394106203599039	0.0355130768697233	0.0263966510053672	0	0.0350852651138767	0	0	0.0698856557814612	0
